Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Subtask,SHR-87,10342,[BE] Unit test Service layer >= 70% + JaCoCo report,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-86,10341,[BE] Integration test full race lifecycle với TestContainers,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-85,10340,[DevOps] GitHub Actions CI/CD pipeline (test → build → deploy),,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-84,10339,[DevOps] Dockerfile BE + FE + docker-compose.yml + .env.example,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-83,10338,[FE] Khởi tạo React + Vite + TypeScript + Axios + Router,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-82,10337,[BE] Khởi tạo Spring Boot Modular Monolith + Health endpoint,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-81,10336,[FE] Axios Interceptor + Toast Error + Loading State,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-80,10335,[BE] GlobalExceptionHandler + ErrorResponse DTO + MDC traceId,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-79,10334,[FE] Notification Bell + Dropdown trong Navbar,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-78,10333,[BE] Entity Notification + NotificationService + API endpoints,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
Subtask,SHR-77,10332,[FE] LiveResultPage + Bảng xếp hạng + auto-refresh,,,Nguyễn Phước Đức Minh,712020:40eafdcd-8830-4506-9d4c-3ffe8e5d394b,Medium,To Do,,07/Jun/26 10:25 AM,07/Jun/26 10:25 AM,
